"id","code","local_code","name","continent","iso_country","wikipedia_link","keywords"
303269,"BT-U-A","U-A","(unassigned)","AS","BT",,
303270,"BW-CE","CE","Central District","AF","BW","http://en.wikipedia.org/wiki/Central_District_(Botswana)",
303271,"BW-GH","GH","Ghanzi District","AF","BW","http://en.wikipedia.org/wiki/Ghanzi_District",
303272,"BW-KG","KG","Kgalagadi District","AF","BW","http://en.wikipedia.org/wiki/Kgalagadi_District",
303273,"BW-KL","KL","Kgatleng District","AF","BW","http://en.wikipedia.org/wiki/Kgatleng_District",
303274,"BW-KW","KW","Kweneng District","AF","BW","http://en.wikipedia.org/wiki/Kweneng_District",
303275,"BW-NE","NE","North-East District","AF","BW","http://en.wikipedia.org/wiki/North-East_District",
303276,"BW-NW","NW","North-West District","AF","BW","http://en.wikipedia.org/wiki/North-West_District",
303277,"BW-SE","SE","South-East District","AF","BW","http://en.wikipedia.org/wiki/South-East_District",
303278,"BW-SO","SO","Southern District","AF","BW","http://en.wikipedia.org/wiki/Southern_District_(Botswana)",
303279,"BW-U-A","U-A","(unassigned)","AF","BW",,
303280,"BY-BR","BR","Brest Voblast","EU","BY","http://en.wikipedia.org/wiki/Brest_Voblast","BrÃ¨sckaja voblasc'"
303281,"BY-HO","HO","Homiel Voblast","EU","BY","http://en.wikipedia.org/wiki/Homiel_Voblast","Homel'skaja voblasc', Homyel, Gomel"
303282,"BY-HR","HR","Hrodna Voblast","EU","BY","http://en.wikipedia.org/wiki/Hrodna_Voblast","Hrodzenskaja voblasc', Grodno"
303283,"BY-MA","MA","Mahilyow Voblast","EU","BY","http://en.wikipedia.org/wiki/Mahilyow_Voblast","MahilÃ«uskaja voblasc'"
303284,"BY-MI","MI","Minsk Voblast","EU","BY","http://en.wikipedia.org/wiki/Minsk_Voblast","Minskaja voblasc', ÐœÑ–ÌÐ½ÑÐºÐ°Ñ Ð²Ð¾ÌÐ±Ð»Ð°ÑÑ†ÑŒ"
303285,"BY-U-A","U-A","(unassigned)","EU","BY",,
303286,"BY-VI","VI","Vitsebsk Voblast","EU","BY","http://en.wikipedia.org/wiki/Vitsebsk_Voblast","Vicebskaja voblasc', Ð’Ñ–ÌÑ†ÐµÐ±ÑÐºÐ°Ñ Ð²Ð¾ÌÐ±Ð»Ð°ÑÑ†ÑŒ"
303287,"BZ-BZ","BZ","Belize District","NA","BZ","http://en.wikipedia.org/wiki/Belize_District",
303288,"BZ-CY","CY","Cayo District","NA","BZ","http://en.wikipedia.org/wiki/Cayo_District",
303289,"BZ-CZL","CZL","Corozal District","NA","BZ","http://en.wikipedia.org/wiki/Corozal_District",
303290,"BZ-OW","OW","Orange Walk District","NA","BZ","http://en.wikipedia.org/wiki/Orange_Walk_District",
303291,"BZ-SC","SC","Stann Creek District","NA","BZ","http://en.wikipedia.org/wiki/Stann_Creek_District",
303292,"BZ-TOL","TOL","Toledo District","NA","BZ","http://en.wikipedia.org/wiki/Toledo_District",
303293,"BZ-U-A","U-A","(unassigned)","NA","BZ",,
303294,"CA-AB","AB","Alberta","NA","CA","http://en.wikipedia.org/wiki/Alberta",
303295,"CA-BC","BC","British Columbia","NA","CA","http://en.wikipedia.org/wiki/British_Columbia",
303296,"CA-MB","MB","Manitoba","NA","CA","http://en.wikipedia.org/wiki/Manitoba",
303297,"CA-NB","NB","New Brunswick","NA","CA","http://en.wikipedia.org/wiki/New_Brunswick",
303298,"CA-NL","NL","Newfoundland and Labrador","NA","CA","http://en.wikipedia.org/wiki/Newfoundland_and_Labrador",
303299,"CA-NS","NS","Nova Scotia","NA","CA","http://en.wikipedia.org/wiki/Nova_Scotia",
303300,"CA-NT","NT","Northwest Territories","NA","CA","http://en.wikipedia.org/wiki/Northwest_Territories",
303301,"CA-NU","NU","Nunavut","NA","CA","http://en.wikipedia.org/wiki/Nunavut",
303302,"CA-ON","ON","Ontario","NA","CA","http://en.wikipedia.org/wiki/Ontario",
303303,"CA-PE","PE","Prince Edward Island","NA","CA","http://en.wikipedia.org/wiki/Prince_Edward_Island",
303304,"CA-QC","QC","Quebec","NA","CA","http://en.wikipedia.org/wiki/Quebec","AÃ©roports du QuÃ©bec"
303305,"CA-SK","SK","Saskatchewan","NA","CA","http://en.wikipedia.org/wiki/Saskatchewan",
303306,"CA-U-A","U-A","(unassigned)","NA","CA",,
303307,"CA-YT","YT","Yukon Territory","NA","CA","http://en.wikipedia.org/wiki/Yukon_Territory",
303308,"CC-U-A","U-A","(unassigned)","AS","CC",,
303309,"CD-BC","BC","Bas-Congo Province","AF","CD","http://en.wikipedia.org/wiki/Bas-Congo_Province",
303310,"CD-BN","BN","Bandundu Province","AF","CD","http://en.wikipedia.org/wiki/Bandundu_Province",
303311,"CD-EQ","EQ","Equateur Province","AF","CD","http://en.wikipedia.org/wiki/Equateur_Province",
303312,"CD-HC","HC","Haut-Congo Province","AF","CD","http://en.wikipedia.org/wiki/Haut-Congo_Province",
303313,"CD-KA","KA","Katanga Province","AF","CD","http://en.wikipedia.org/wiki/Katanga_Province",
303314,"CD-KE","KE","Kasai-Oriental Province","AF","CD","http://en.wikipedia.org/wiki/Kasai-Oriental_Province",
303315,"CD-KN","KN","Kinshasa Province","AF","CD","http://en.wikipedia.org/wiki/Kinshasa_Province",
303316,"CD-KW","KW","Kasai-Occidental Province","AF","CD","http://en.wikipedia.org/wiki/Kasai-Occidental_Province",
303317,"CD-MA","MA","Maniema Province","AF","CD","http://en.wikipedia.org/wiki/Maniema_Province",
303318,"CD-NK","NK","Nord-Kivu Province","AF","CD","http://en.wikipedia.org/wiki/Nord-Kivu_Province",
303319,"CD-OR","OR","Orientale Province","AF","CD","http://en.wikipedia.org/wiki/Orientale_Province",
303320,"CD-SK","SK","Sud-Kivu Province","AF","CD","http://en.wikipedia.org/wiki/Sud-Kivu_Province",
303321,"CD-U-A","U-A","(unassigned)","AF","CD",,
303322,"CF-AC","AC","Ouham","AF","CF","http://en.wikipedia.org/wiki/Ouham",
303323,"CF-BB","BB","Bamingui-Bangoran","AF","CF","http://en.wikipedia.org/wiki/Bamingui-Bangoran",
303324,"CF-BGF","BGF","Bangui","AF","CF","http://en.wikipedia.org/wiki/Bangui",
303325,"CF-BK","BK","Basse-Kotto","AF","CF","http://en.wikipedia.org/wiki/Basse-Kotto",
303326,"CF-HK","HK","Haute-Kotto","AF","CF","http://en.wikipedia.org/wiki/Haute-Kotto",
303327,"CF-HM","HM","Haut-Mbomou","AF","CF","http://en.wikipedia.org/wiki/Haut-Mbomou",
303328,"CF-HS","HS","MambÃ©rÃ©-KadÃ©Ã¯","AF","CF","http://en.wikipedia.org/wiki/Mamb%C3%A9r%C3%A9-Kad%C3%A9%C3%AF",
303329,"CF-KB","KB","Nana-GrÃ©bizi","AF","CF","http://en.wikipedia.org/wiki/Nana-Gr%C3%A9bizi",
303330,"CF-KG","KG","KÃ©mo","AF","CF","http://en.wikipedia.org/wiki/K%C3%A9mo",
303331,"CF-LB","LB","Lobaye","AF","CF","http://en.wikipedia.org/wiki/Lobaye",
303332,"CF-MB","MB","Mbomou","AF","CF","http://en.wikipedia.org/wiki/Mbomou",
303333,"CF-MP","MP","Ombella-M'Poko","AF","CF","http://en.wikipedia.org/wiki/Ombella-M%27Poko",
303334,"CF-NM","NM","Nana-MambÃ©rÃ©","AF","CF","http://en.wikipedia.org/wiki/Nana-Mamb%C3%A9r%C3%A9",
303335,"CF-OP","OP","Ouham-PendÃ©","AF","CF","http://en.wikipedia.org/wiki/Ouham-Pend%C3%A9",
303336,"CF-SE","SE","Sangha-MbaÃ©rÃ©","AF","CF","http://en.wikipedia.org/wiki/Sangha-Mba%C3%A9r%C3%A9",
303337,"CF-U-A","U-A","(unassigned)","AF","CF",,
303338,"CF-UK","UK","Ouaka","AF","CF","http://en.wikipedia.org/wiki/Ouaka",
303339,"CF-VR","VR","Vakaga","AF","CF","http://en.wikipedia.org/wiki/Vakaga",
303340,"CG-11",11,"Bouenza Department","AF","CG","http://en.wikipedia.org/wiki/Bouenza_Department",
303341,"CG-12",12,"Pool Department","AF","CG","http://en.wikipedia.org/wiki/Pool_Department",
303342,"CG-13",13,"Sangha Department","AF","CG","http://en.wikipedia.org/wiki/Sangha_Department",
303343,"CG-14",14,"Plateaux Department","AF","CG","https://en.wikipedia.org/wiki/Plateaux_Department_(Republic_of_the_Congo)",
303344,"CG-15",15,"Cuvette-Ouest Department","AF","CG","http://en.wikipedia.org/wiki/Cuvette-Ouest_Department",
303345,"CG-2",2,"LÃ©koumou Department","AF","CG","https://en.wikipedia.org/wiki/LÃ©koumou_Department",
303346,"CG-5",5,"Kouilou Department","AF","CG","http://en.wikipedia.org/wiki/Kouilou_Department",
303347,"CG-7",7,"Likouala Department","AF","CG","http://en.wikipedia.org/wiki/Likouala_Department",
303348,"CG-8",8,"Cuvette Department","AF","CG","http://en.wikipedia.org/wiki/Cuvette_Department",
303349,"CG-9",9,"Niari Department","AF","CG","http://en.wikipedia.org/wiki/Niari_Department",
303350,"CG-BZV","BZV","Brazzaville Department","AF","CG","http://en.wikipedia.org/wiki/Brazzaville_Department",
303351,"CG-U-A","U-A","(unassigned)","AF","CG",,
303352,"CH-AG","AG","Canton of Aargau","EU","CH","http://en.wikipedia.org/wiki/Aargau",
303353,"CH-AI","AI","Canton of Appenzell Innerrhoden","EU","CH","http://en.wikipedia.org/wiki/Appenzell_Innerrhoden",
303354,"CH-AR","AR","Canton of Appenzell Ausserrhoden","EU","CH","http://en.wikipedia.org/wiki/Appenzell_Ausserrhoden",
303355,"CH-BE","BE","Canton of Berne","EU","CH","http://en.wikipedia.org/wiki/Berne","Bern"
303356,"CH-BL","BL","Canton of Basel-Country","EU","CH","http://en.wikipedia.org/wiki/Basel-Country","Basel-Landschaft"
303357,"CH-BS","BS","Canton of Basel-City","EU","CH","http://en.wikipedia.org/wiki/Basel-City","Basel-Stadt"
303358,"CH-FR","FR","Canton of Fribourg","EU","CH","http://en.wikipedia.org/wiki/Fribourg",
303359,"CH-GE","GE","Canton of Geneva","EU","CH","http://en.wikipedia.org/wiki/Geneva","GenÃ¨ve"
303360,"CH-GL","GL","Canton of Glarus","EU","CH","http://en.wikipedia.org/wiki/Glarus",
303361,"CH-GR","GR","Canton of Grisons","EU","CH","http://en.wikipedia.org/wiki/Grisons","GraubÃ¼nden"
303362,"CH-JU","JU","Canton of Jura","EU","CH","http://en.wikipedia.org/wiki/Jura",
303363,"CH-LU","LU","Canton of Lucerne","EU","CH","http://en.wikipedia.org/wiki/Lucerne","Luzern"
303364,"CH-NE","NE","Canton of NeuchÃ¢tel","EU","CH","http://en.wikipedia.org/wiki/NeuchÃ¢tel",
303365,"CH-NW","NW","Canton of Nidwalden","EU","CH","http://en.wikipedia.org/wiki/Nidwalden",
303366,"CH-OW","OW","Canton of Obwalden","EU","CH","http://en.wikipedia.org/wiki/Obwalden",
303367,"CH-SG","SG","Canton of St. Gallen","EU","CH","http://en.wikipedia.org/wiki/St._Gallen","Sankt Gallen"
303368,"CH-SH","SH","Canton of Schaffhausen","EU","CH","http://en.wikipedia.org/wiki/Schaffhausen",
303369,"CH-SO","SO","Canton of Solothurn","EU","CH","http://en.wikipedia.org/wiki/Solothurn",
303370,"CH-SZ","SZ","Canton of Schwyz","EU","CH","http://en.wikipedia.org/wiki/Schwyz",
303371,"CH-TG","TG","Canton of Thurgau","EU","CH","http://en.wikipedia.org/wiki/Thurgau",
303372,"CH-TI","TI","Canton of Ticino","EU","CH","http://en.wikipedia.org/wiki/Ticino",
303373,"CH-U-A","U-A","(unassigned)","EU","CH",,
303374,"CH-UR","UR","Canton of Uri","EU","CH","http://en.wikipedia.org/wiki/Uri",
303375,"CH-VD","VD","Canton of Vaud","EU","CH","http://en.wikipedia.org/wiki/Vaud",
303376,"CH-VS","VS","Canton of Valais","EU","CH","http://en.wikipedia.org/wiki/Valais",
303377,"CH-ZG","ZG","Canton of Zug","EU","CH","http://en.wikipedia.org/wiki/Zug",
303378,"CH-ZH","ZH","Canton of Zurich","EU","CH","http://en.wikipedia.org/wiki/Zurich",
303379,"CI-01",01,"Lagunes","AF","CI","http://en.wikipedia.org/wiki/Lagunes",
303380,"CI-02",02,"Haut-Sassandra","AF","CI","http://en.wikipedia.org/wiki/Haut-Sassandra",
303381,"CI-03",03,"Savanes","AF","CI","http://en.wikipedia.org/wiki/Savanes",
303382,"CI-04",04,"VallÃ©e du Bandama","AF","CI","http://en.wikipedia.org/wiki/VallÃ©e_du_Bandama",
303383,"CI-05",05,"Moyen-ComoÃ©","AF","CI","http://en.wikipedia.org/wiki/Moyen-ComoÃ©",
303384,"CI-06",06,"Dix-Huit Montagnes","AF","CI","http://en.wikipedia.org/wiki/Dix-Huit_Montagnes","18 Montagnes"
303385,"CI-07",07,"Lacs","AF","CI","http://en.wikipedia.org/wiki/Lacs",
